event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
NEP13408,2019-01-01,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Labor Group (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Bagmati,Kathmandu,,Kathmandu,27.7017,85.3206,1,Ratopati,National,"On 1 January 2019, protestors (Employee from Finance Group) padlocked the office of the Auditor-General in Kathmandu (Kathmandu district) against 'Employee adjustment Act 2075.",0,"crowd size=no report",1664904401
NEP17579,2019-01-02,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","MNO: Mongol National Organization",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Koshi,Sunsari,,Sunsari,26.6666,87.1666,2,"COCAP-Nepal Monitor","Local partner-National","On 2 January 2019, at least 20 members of Mongol National Organization took out a protest rally in Sunsari district (Koshi, Province 1), demanding a change in the national flag and rewriting the constitution.",0,"crowd size=at least 20",1756236966
NEP4731,2019-01-02,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)",,Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Madhesh,Siraha,,Siraha,26.6542,86.2080,2,"Himalayan Times",National,"On 2 January 2019, protesters protested by staging an indefinite relay hunger strike in Mahabirchowk locality near Siraha city (Siraha district, Sagarmatha), demanding early completion of a bridge spanning the Kamala River. The protesters expressed dissatisfaction over the bridge not being completed in more than seven years, while the initial contract for completing it was within three and a half years.",0,"crowd size=no report",1683068766
NEP13395,2019-01-03,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Labor Group (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Madhesh,Parsa,,Birganj,27.0104,84.8774,1,"Prateek Daily",National,"On 3 January 2019, metropolitan office workers began a sit-in protest in Birganj city (Parsa) against unproportionate staff adjustment in the office. The sit-in was ongoing as of 8 January.",0,"crowd size=no report",1664904399
NEP4727,2019-01-03,2019,1,Demonstrations,Riots,"Violent demonstration","Rioters (Nepal)",,Rioters,,,,"Rioters only",,524,"South Asia",Nepal,Lumbini,Rupandehi,,Marchawari,27.4122,83.3751,1,"Himalayan Times",National,"On 3 January 2019, locals demonstrated by burning tyres and padlocking the office of rural municipality at Marchawari locality (Rupandehi district, Lumbini), expressing dissatisfaction over the decision to shift the office building from ward number 3 to ward number 4.",0,"crowd size=no report",1683068766
NEP10165,2019-01-04,2019,1,"Political violence",Riots,"Mob violence","Rioters (Nepal)",,Rioters,"Civilians (Nepal)","NC: Nepali Congress",Civilians,Rioters-Civilians,"Civilian targeting",524,"South Asia",Nepal,Bagmati,Chitwan,,Bharatpur,27.6768,84.4359,1,INSEC,Other,"On 4 January 2019, Nepali Congress General Assembly member was assaulted by a group of youth while he was walking in the street at Bharatpur metropolis (Chitwan district, Narayani). The victim is undergoing treatment for the injuries he sustained from the incident.",0,"crowd size=no report",1664904390
NEP13763,2019-01-04,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Teachers (Nepal); Labor Group (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Karnali,Surkhet,,Birendranagar,28.6019,81.6339,1,Kantipur,National,"On 4 January 2019, teachers and workers staged a sit-in protest at the central office of the Mid-Western University in Birendranagar city (Surkhet) demanding the completion of affiliation process with sister campuses, so that they can officially get appointed and receive salaries.",0,"crowd size=no report",1664904391
NEP4730,2019-01-04,2019,1,"Political violence",Riots,"Mob violence","Rioters (Nepal)",,Rioters,"Civilians (Nepal)","Labor Group (Nepal)",Civilians,Rioters-Civilians,"Civilian targeting",524,"South Asia",Nepal,Bagmati,Kathmandu,,Kathmandu,27.7017,85.3206,1,"Kathmandu Post",National,"On 4 January 2019, a group of unidentified persons smeared black soot on the face of the managing director of Nepal Airlines Corporation (NAC) at Kathmandu city (Kathmandu district, Nepal). The NAC representative was accused of his involvement in the controversial purchase deal of two widebody aircrafts.",0,"crowd size=no report",1683068766
NEP13134,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","ANNFSU: All Nepal National Free Students' Union; NSU: Nepal Student Union; Students (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Lumbini,Palpa,,Tansen,27.8673,83.5467,1,Nagarik,National,"On 6 January 2019, students associated with NSU and ANNFSU staged a protest chanting anti-government slogans and halting vehicle movement for an hour in district headquarter, Tansen (Palpa district) expressing their dissatisfaction on administering the oath taking ceremony of Resham Chaudhary, the main accused in 2015 Tikapur incident for lynching of eight police personnel and an infant in Tikapur of Kailali district.",0,"crowd size=no report",1664904392
NEP10166,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Bagmati,Kathmandu,,Kathmandu,27.7017,85.3206,1,"Rising Nepal",National,"On 6 January 2019, doctors of government hospital protested by staging a sit-in in front of the Ministry of Health and Population at Kathmandu city (Kathmandu district, Bagmati), expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1664904403
NEP10168,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Gandaki,Kaski,,Pokhara,28.2669,83.9685,2,"Rising Nepal",National,"On 6 January 2019, doctors of government hospital protested by staging a sit-in at the provincial and local Social Development Ministry near Pokhara area (Kaski district, Gandaki zone) of Western Development Region, expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1664904403
NEP10169,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Sudurpashchim,Doti,,Dipayal,29.2605,80.9318,2,"Rising Nepal",National,"On 6 January 2019, doctors of government hospital protested by staging a sit-in at the provincial and local Social Development Ministry near Dipayal area (Doti district, Seti zone) of Far-Western Development Region, expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1664904403
NEP10167,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Koshi,Dhankuta,,Dhankuta,26.9801,87.3453,2,"Rising Nepal",National,"On 6 January 2019, doctors of government hospital protested by staging a sit-in at the provincial and local Social Development Ministry near Dhankuta area (Dhankuta district, Koshi zone) of Eastern Development Region, expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1756236966
NEP10170,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal); Government of Nepal (2018-2021)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Karnali,Surkhet,,Birendranagar,28.6019,81.6339,2,"Rising Nepal",National,"On 6 January 2019, doctors of government hospital protested by staging a sit-in at the provincial and local Social Development Ministry near Birendranagar area (Surkhet district, Bheri zone) of Mid-Western Development Region, expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1673997711
NEP7791,2019-01-06,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","NC: Nepali Congress; Government of Nepal (2018-2021)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Bagmati,Kathmandu,,Kathmandu,27.7017,85.3206,1,Setopati,National,"On 6 January 2019, Nepali Congress lawmakers chanted slogans and picketed the parliament at Kathmandu city (Kathmandu district, Bagmati), after the speaker of the House of Representatives refused to allow the lawmakers to ask questions to the Prime Minister.",0,"crowd size=no report",1683068766
NEP4742,2019-01-07,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","NSU: Nepal Student Union; Students (Nepal)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Gandaki,Kaski,,Pokhara,28.2669,83.9685,1,"Himalayan Times",National,"On 7 January 2019, students affiliated with Nepal Students Union of Prithvinarayan Campus unit protested by putting up anti-corruption banners at the campus gate in Pokhara city (Kaski district, Gandaki). The protest was against corruption in the government offices and purchase of widebody aircraft by the government.",0,"crowd size=no report",1683068766
NEP4744,2019-01-07,2019,1,Demonstrations,Protests,"Peaceful protest","Protesters (Nepal)","Health Workers (Nepal); Government of Nepal (2018-2021)",Protesters,,,,"Protesters only",,524,"South Asia",Nepal,Bagmati,Kathmandu,,Kathmandu,27.7017,85.3206,2,"Himalayan Times",National,"On 7 January 2019, doctors of government hospitals protested by staging a sit-in in front of their respective hospitals and stopping their work for an hour in and around Kathmandu area (Kathmandu district, Bagmati zone) of Central Development Region, expressing dissatisfaction over the provisions of newly enforced Civil Servants Integration Law, which they claimed to be discriminatory.",0,"crowd size=no report",1683068766
